1,135,140,300,30x40,bijeli,21,f,bijeli,500
2,139,154,315,30x30,bijeli,32,f,bijeli,550
3,316,141,301,30x40,crni,36,f,crni,600
4,136,142,302,30x40,crni,35,t,bijeli,550
5,136,142,302,20x27,crni,35,t,bijeli,300
6,136,142,302,20x27,crni,35,t,bijeli,300
7,137,145,316,40x40,bež,40,t,bež,800
8,137,145,316,20x20,bež,40,t,bež,400
9,137,145,316,20x20,bež,40,t,bež,400
10,135,146,317,30x30,bijeli,32,f,bijeli,550
11,135,147,318,35x35,crni,32,f,crni,600
12,139,148,319,25x25,bijeli,37,f,crni,550
13,316,150,303,30x30,crni,35,f,crni,600
14,138,151,304,20x20,bež,30,f,crni,350
